"","abandon_measure","rejected_measure","votes_measure"
"1",0.205737337516809,0.0049305244285074,0.263895164934478
"2",0.219171917191719,0.00495049504950495,0.265230769230769
"3",0.213830755232029,0.00682438580527752,0.293718166383701
"4",0.217214961694457,0.00405588102748986,0.276239907727797
"5",0.21036036036036,0.00765765765765766,0.278727165586329
"6",0.197115384615385,0.00568181818181818,0.299486594409584
"7",0.212243074173369,0.00714924039320822,0.258300506471581
"8",0.220883534136546,0.00669344042838019,0.262343842950625
"9",0.216777041942605,0.00573951434878587,0.263588544710695
"10",0.215909090909091,0.005,0.289838337182448
"11",0.200089325591782,0.00669941938365342,0.259976525821596
"12",0.201376146788991,0.00504587155963303,0.24733595064498
"13",0.211017325633052,0.00666370501999112,0.28775398132894
"14",0.193232413178985,0.00578806767586821,0.245753114382786
"15",0.221766848816029,0.00591985428051002,0.259701492537313
"16",0.209009009009009,0.00810810810810811,0.260240963855422
"17",0.196157283288651,0.00536193029490617,0.293187347931873
"18",0.206708975521306,0.00589301903898459,0.267106842737095
"19",0.20735632183908,0.00735632183908046,0.288184438040346
"20",0.202617328519856,0.00541516245487365,0.271924661565627
"21",0.22005444646098,0.00907441016333938,0.246592317224287
"22",0.205424633170298,0.00622498888394842,0.263317191283293
"23",0.195448460508701,0.00669344042838019,0.26952436876101
"24",0.204016430853492,0.00730260155180283,0.255196304849885
"25",0.202440126525079,0.00587437867148667,0.267338470657973
"26",0.20008624407072,0.0086244070720138,0.272623790552077
"27",0.195100222717149,0.00757238307349666,0.291296625222025
"28",0.210526315789474,0.00579839429081177,0.277620396600567
"29",0.193345323741007,0.00449640287769784,0.291044776119403
"30",0.208428767750802,0.00824553366926248,0.297344110854503
