"","abandon_measure","rejected_measure","votes_measure"
"1",0.186283185840708,0.000442477876106195,0.313958608542492
"2",0.191868433074463,0,0.294950738916256
"3",0.18595406360424,0,0.290677475390851
"4",0.179946284691137,0.00134288272157565,0.293718166383701
"5",0.189609236234458,0,0.257095158597663
"6",0.179701230228471,0.000878734622144112,0.299884659746251
"7",0.175872735307114,0,0.29706877113867
"8",0.185374941779227,0.000465766185374942,0.315299592786504
"9",0.177566045907319,0.00043308791684712,0.295232624928202
"10",0.172905525846702,0,0.31634446397188
"11",0.168219944082013,0.000465983224603914,0.30731102850062
"12",0.175244010647737,0.000887311446317658,0.312876052948255
"13",0.177869227251943,0,0.318857822724569
"14",0.180327868852459,0.000431406384814495,0.287258248009101
"15",0.176776429809359,0,0.300441014332966
"16",0.180568285976169,0.000916590284142988,0.309272300469484
"17",0.176260597947345,0.000446229361892012,0.322333529758397
"18",0.179117911791179,0,0.308894230769231
"19",0.184903974988834,0.000446627958910228,0.331274564851207
"20",0.177348551360843,0,0.302455357142857
"21",0.187330316742081,0.000452488687782805,0.313725490196078
"22",0.181201988251243,0,0.332783278327833
"23",0.177249885792599,0.00228414801279123,0.308142940831869
"24",0.164804469273743,0.000931098696461825,0.305896088733217
"25",0.179098005203816,0,0.335778781038375
"26",0.176417641764176,0.0009000900090009,0.2989449003517
"27",0.183836589698046,0,0.283282674772036
"28",0.182263814616756,0,0.307909604519774
"29",0.172429277054333,0.000449034575662326,0.288826815642458
"30",0.18125,0,0.311370262390671
